name,price,bedrooms,bathrooms,sqr,distance,BER,type
3596545,"€2,100 per month",2 Bed,1 Bath,N/A,2.7635975380863873,D2,['To Let']
3548917,"€1,495 per month",1 Bed,1 Bath,N/A,0.8321745960426743,D1,['To Let']
3604999,"€1,677 per month",2 Bed,2 Bath,N/A,10.44960670245662,C2,['To Let']
3183049,"€1,200 per month",1 Bed,1 Bath,N/A,3.2502673025001036,C1,['To Let']
3547671,"€1,922 per month",2 Bed,2 Bath,N/A,13.621447219262594,C2,['To Let']
3522454,"€1,700 per month",1 Bed,1 Bath,N/A,0.8419618405798965,C1,['To Let']
3549702,"€1,700 per month",1 Bed,1 Bath,N/A,0.8419618405798965,C3,['To Let']
3608570,"€1,489 per month",2 Bed,1 Bath,N/A,9.936442886776796,C3,['To Let']
3613492,"€1,897 per month",2 Bed,1 Bath,N/A,0.9580246195013711,C2,['To Let']
3604792,"€1,900 per month",1 Bed,1 Bath,N/A,7.805039865240692,B3,['To Let']
3605483,"€2,300 per month",2 Bed,2 Bath,N/A,3.689309936312902,C1,['To Let']
1525613,"€3,800 per month",2 Bed,2 Bath,N/A,1.4567794568532795,A3,['To Let']
2620878,"€4,000 per month",3 Bed,2 Bath,N/A,1.5241265869525888,A1,['To Let']
3618647,€950 per month,1 Bed,1 Bath,N/A,3.027352960843909,D1,['To Let']
3618571,"€1,950 per month",2 Bed,2 Bath,N/A,10.45758137730364,B3,['To Let']
3612967,"€1,995 per month",2 Bed,1 Bath,N/A,5.252784310239632,C2,['To Let']
3618661,€990 per week,2 Bed,2 Bath,N/A,0.965331470045951,C1,['To Let']
3618626,"€2,650 per month",3 Bed,2 Bath,N/A,3.7170805567677823,SI_666,['To Let']
3608561,"€1,510 per month",2 Bed,2 Bath,N/A,3.2815073345353643,SI_666,['To Let']
3607006,"€1,695 per month",2 Bed,1 Bath,N/A,3.32518564602562,SI_666,['To Let']
3613444,"€2,950 per month",3 Bed,2 Bath,N/A,9.937503576436264,A3,['To Let']
3597296,"€1,040 per month",1 Bed,1 Bath,N/A,1.3844178605795492,SI_666,['To Let']
3613421,"€2,200 per month",2 Bed,2 Bath,N/A,13.851858801774759,C3,['To Let']
3616278,"€1,400 per month",1 Bed,1 Bath,N/A,2.61496142592836,SI_666,['To Let']
3614075,"€1,590 per month",2 Bed,1 Bath,N/A,11.391960754383945,C2,['To Let']
3613856,"€1,700 per month",1 Bed,1 Bath,N/A,9.989583315968424,A3,['To Let']
